"Country","Cars","2-wheelers","Cyclists","Pedestrians","Other"
"Albania","50.8","13.2","4.1","31.2","0.7"
"Andorra","0.0","50.0","0.0","50.0","0.0"
"Angola","0.0","1.9","0.0","35.4","62.7"
"Antigua and Barbuda","66.7","0.0","16.7","16.7","0.0"
"Argentina","88.0","0.0","2.0","10.1","0.0"
"Armenia","54.7","0.0","0.3","35.8","9.2"
"Australia","64.2","17.9","4.2","13.2","0.6"
"Austria","42.4","21.5","11.2","18.0","5.9"
"Azerbaijan","62.1","0.5","0.3","30.5","6.7"
"Bahamas","57.7","17.3","3.8","21.2","0.0"
"Bahrain","59.3","3.5","5.8","31.4","0.0"
"Bangladesh","41.5","10.8","1.8","32.2","13.7"
"Barbados","33.3","16.7","11.1","38.9","0.0"
"Belarus","49.2","0.0","7.9","41.6","1.2"
"Belgium","51.9","15.9","10.1","13.7","8.4"
"Belize","46.6","21.9","17.8","9.6","4.1"
"Benin","15.5","55.8","2.3","21.1","5.3"
"Bhutan","94.9","1.7","0.0","3.4","0.0"
"Bolivia (Plurinational State of)","56.1","9.9","0.9","32.5","0.6"
"Bosnia and Herzegovina","52.6","9.1","11.0","27.3","0.0"
"Botswana","67.6","0.0","0.0","27.3","5.1"
"Brazil","23.5","28.0","3.3","19.7","25.5"
"Bulgaria","62.9","8.7","5.2","18.1","5.2"
"Côte d'Ivoire","22.0","22.0","2.0","35.0","19.0"
"Cambodia","8.5","70.4","2.3","12.7","6.1"
"Canada","66.6","8.4","2.5","15.7","6.7"
"Chile","36.1","7.0","7.6","38.9","10.4"
"China","19.2","26.8","8.1","26.1","19.8"
"Colombia","7.6","44.3","5.0","29.3","13.8"
"Cook Islands","40.0","60.0","0.0","0.0","0.0"
"Costa Rica","27.8","28.3","9.3","32.1","2.5"
"Croatia","54.3","17.1","6.3","18.8","3.5"
"Cuba","21.2","12.4","12.7","38.6","15.0"
"Cyprus","38.6","34.1","4.5","18.2","4.5"
"Czechia","47.1","11.0","11.3","24.8","5.8"
"Democratic Republic of the Congo","70.9","14.9","0.0","4.9","9.1"
"Denmark","50.3","13.6","17.3","17.8","1.0"
"Dominica","63.6","0.0","18.2","18.2","0.0"
"Dominican Republic","12.9","63.2","0.5","19.7","3.6"
"Ecuador","2.2","6.9","0.5","30.0","60.3"
"Egypt","48.6","0.6","6.3","29.2","15.3"
"El Salvador","11.6","11.0","4.6","58.9","13.9"
"Eritrea","25.7","0.0","7.4","39.9","27.0"
"Estonia","50.6","6.2","11.1","28.4","3.7"
"Fiji","39.0","0.0","2.4","58.5","0.0"
"Finland","62.4","11.2","7.8","13.2","5.4"
"France","49.3","24.2","4.5","14.2","7.8"
"Georgia","44.7","3.1","0.6","24.3","27.2"
"Germany","47.6","19.2","10.6","16.7","6.0"
